No,smi_mol1,smi_mol2,smi_mol3,smi_mol4,smi_mol5,smi_mol6,smi_mol7,smi_mol8,smi_mol9,smi_mol10,smi_mol11,smi_mol12,smi_mol13,x_mol_1,x_mol_2,x_mol_3,x_mol_4,x_mol_5,x_mol_6,x_mol_7,x_mol_8,x_mol_9,x_mol_10,x_mol_11,x_mol_12,x_mol_13,Mole/Weight/Volume Fraction,CN,DCN or ICN,Method,Device,Comments,Reference,can_smi_1,can_smi_2,can_smi_3,can_smi_4,can_smi_5,can_smi_6,can_smi_7,can_smi_8,can_smi_9,can_smi_10,can_smi_11,can_smi_12,can_smi_13,blends_str_repr
218,CCCCCCCCO,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,36.1,ICN,ASTM D8183,AFIDA,,9,CCCCCCCCO,,,,,,,,,,,,,CCCCCCCCO_1.000_
1031,CCCCCCCCO,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,33.9,DCN,ASTM D6890,IQT,,59,CCCCCCCCO,,,,,,,,,,,,,CCCCCCCCO_1.000_
223,CC(C)CCOCCC(C)C,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,85.1,ICN,ASTM D8183,AFIDA,,9,CC(C)CCOCCC(C)C,,,,,,,,,,,,,CC(C)CCOCCC(C)C_1.000_
1136,CC(C)CCOCCC(C)C,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,96.0,DCN,ASTM D6890,IQT,,53,CC(C)CCOCCC(C)C,,,,,,,,,,,,,CC(C)CCOCCC(C)C_1.000_
227,CCCOCCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,86.12,ICN,ASTM D8183,AFIDA,2000 ppm of lubricity additive (Infineum R655),9,CCCOCCC,,,,,,,,,,,,,CCCOCCC_1.000_
1252,CCCOCCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,106.0,DCN,ASTM D6890,IQT,Missing in the compendium; NREL NB 5997-068,9,CCCOCCC,,,,,,,,,,,,,CCCOCCC_1.000_
228,CCCCO,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,6.9,ICN,ASTM D8183,AFIDA,,8,CCCCO,,,,,,,,,,,,,CCCCO_1.000_
1012,CCCCO,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,11.7,DCN,ASTM D6890,IQT,,21,CCCCO,,,,,,,,,,,,,CCCCO_1.000_
1231,CCCCO,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,3.7,DCN,ASTM D7170,FIT,,15,CCCCO,,,,,,,,,,,,,CCCCO_1.000_
1368,CCCCO,,,,,,,,,,,,,1.0,,,,,,,,,,,,,mole,17.0,CN,CN,,,82,CCCCO,,,,,,,,,,,,,CCCCO_1.000_
274,CCCCCOCCCCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,142.0,ICN,ASTM D8183,AFIDA,Based on working methodology for high ICN compounds,9,CCCCCOCCCCC,,,,,,,,,,,,,CCCCCOCCCCC_1.000_
1137,CCCCCOCCCCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,111.0,DCN,ASTM D6890,IQT,,53,CCCCCOCCCCC,,,,,,,,,,,,,CCCCCOCCCCC_1.000_
301,CC(C)C(C)(C)C,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,3.87,ICN,ASTM D8183,AFIDA,1000 ppm of lubricity additive (Infineum R655),9,CC(C)C(C)(C)C,,,,,,,,,,,,,CC(C)C(C)(C)C_1.000_
960,CC(C)C(C)(C)C,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,12.9,DCN,ASTM D6890,IQT,,53,CC(C)C(C)(C)C,,,,,,,,,,,,,CC(C)C(C)(C)C_1.000_
303,CCC(C)C,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,10.6,ICN,ASTM D8183,AFIDA,1000 ppm of lubricity additive (Infineum R655),9,CCC(C)C,,,,,,,,,,,,,CCC(C)C_1.000_
951,CCC(C)C,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,25.8,DCN,ASTM D6890,IQT,,16,CCC(C)C,,,,,,,,,,,,,CCC(C)C_1.000_
304,CCCC(=O)C,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,1.75,ICN,ASTM D8183,AFIDA,1000 ppm of lubricity additive (Infineum R655),9,CCCC(C)=O,,,,,,,,,,,,,CCCC(C)=O_1.000_
1223,CCCC(=O)C,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,9.56,DCN,ASTM D6890,IQT,Missing in compendium,9,CCCC(C)=O,,,,,,,,,,,,,CCCC(C)=O_1.000_
305,CC(C)OC(C)C,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,2.13,ICN,ASTM D8183,AFIDA,3000 ppm of lubricity additive (Infineum R655),9,CC(C)OC(C)C,,,,,,,,,,,,,CC(C)OC(C)C_1.000_
1044,CC(C)OC(C)C,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,23.6,DCN,ASTM D6890,IQT,,59,CC(C)OC(C)C,,,,,,,,,,,,,CC(C)OC(C)C_1.000_
307,CCCCC1CCCCC1,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,50.0,ICN,ASTM D8183,AFIDA,,10,CCCCC1CCCCC1,,,,,,,,,,,,,CCCCC1CCCCC1_1.000_
993,CCCCC1CCCCC1,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,47.6,DCN,ASTM D6890,IQT,,53,CCCCC1CCCCC1,,,,,,,,,,,,,CCCCC1CCCCC1_1.000_
1127,CCOCOCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,57.3,DCN,ASTM D6890,IQT,,59,CCOCOCC,,,,,,,,,,,,,CCOCOCC_1.000_
1265,CCOCOCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,47.0,ICN,IP 617/ASTM D8183,AFIDA,,11,CCOCOCC,,,,,,,,,,,,,CCOCOCC_1.000_
1162,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,37.0,DCN,ASTM D6890,IQT,,53,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,,,,,,,,,,,,,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC_1.000_
1164,CC/C=C\C/C=C\C/C=C\CCCCCCCC(OC)=O,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,22.7,DCN,ASTM D6890,IQT,,71,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,,,,,,,,,,,,,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC_1.000_
